arm,n,het,drift,seed,lambda_hz,submitted,completed,thr_hz,mean_ms,p50_ms,p95_ms,p99_ms,iwwe,jain
pull,20,0,0,1,162.50,6482,5642,161.19,82.66,81.93,86.35,99.12,0.05007,1.0000
gossip,20,0,0,1,162.50,6481,5642,161.15,89.32,81.97,141.74,160.78,0.15045,0.9672
broker,20,0,0,1,162.50,6481,5642,161.15,90.75,82.34,143.10,164.00,0.15692,0.9665
pull,20,0,0.05,1,162.50,6482,5639,161.10,84.28,82.23,118.51,129.90,0.05282,0.9963
gossip,20,0,0.05,1,162.50,6481,5637,161.04,90.03,83.77,143.42,193.42,0.18563,0.9713
broker,20,0,0.05,1,162.50,6481,5637,161.03,94.41,87.72,157.07,206.39,0.21464,0.9290
pull,20,0,0.2,1,162.50,6482,5637,161.04,99.86,69.22,316.62,519.05,0.03853,0.9801
gossip,20,0,0.2,1,162.50,6481,5636,161.02,111.49,73.13,354.00,678.85,0.17941,0.9734
broker,20,0,0.2,1,162.50,6481,5626,160.73,122.53,80.16,382.89,763.84,0.18649,0.9430
pull,20,0.25,0,1,162.50,6482,5641,161.16,84.74,79.38,123.29,128.41,0.05653,0.9934
gossip,20,0.25,0,1,162.50,6481,5638,161.04,90.48,81.13,138.97,198.41,0.18844,0.9714
broker,20,0.25,0,1,162.50,6481,5634,160.94,92.16,82.62,149.66,207.23,0.19382,0.9707
pull,20,0.25,0.05,1,162.50,6482,5639,161.10,86.51,85.39,138.12,165.69,0.04821,0.9910
gossip,20,0.25,0.05,1,162.50,6481,5636,160.99,93.12,87.59,162.81,215.36,0.17524,0.9711
broker,20,0.25,0.05,1,162.50,6481,5642,161.17,94.35,88.37,168.68,231.37,0.19789,0.9691
pull,20,0.25,0.2,1,162.50,6482,5639,161.10,108.10,57.73,367.11,655.28,0.03278,0.9797
gossip,20,0.25,0.2,1,162.50,6481,5629,160.81,117.31,72.09,370.50,819.56,0.18163,0.9769
broker,20,0.25,0.2,1,162.50,6481,5629,160.82,126.24,82.49,397.11,768.86,0.16270,0.9758
pull,20,0.5,0,1,162.50,6482,5641,161.16,89.48,76.89,186.97,202.94,0.04853,0.9819
gossip,20,0.5,0,1,162.50,6481,5638,161.07,97.44,80.31,201.50,300.20,0.21069,0.9690
broker,20,0.5,0,1,162.50,6481,5640,161.08,101.13,81.40,203.05,318.79,0.19667,0.9633
pull,20,0.5,0.05,1,162.50,6482,5642,161.18,91.53,80.20,197.80,231.86,0.04592,0.9822
gossip,20,0.5,0.05,1,162.50,6481,5639,161.06,101.12,83.25,221.12,340.52,0.17658,0.9692
broker,20,0.5,0.05,1,162.50,6481,5632,160.90,101.58,84.20,220.16,331.25,0.20251,0.9691
pull,20,0.5,0.2,1,162.50,6482,5635,160.99,110.97,48.42,398.86,682.08,0.03021,0.9808
gossip,20,0.5,0.2,1,162.50,6481,5630,160.84,121.04,62.90,398.91,900.75,0.16916,0.9818
broker,20,0.5,0.2,1,162.50,6481,5630,160.84,130.71,69.06,432.86,944.52,0.14759,0.9738
pull,20,1,0,1,162.50,6482,5636,161.02,99.21,68.77,316.87,481.86,0.03428,0.9719
gossip,20,1,0,1,162.50,6481,5636,160.97,113.45,70.44,386.21,628.81,0.17180,0.9644
broker,20,1,0,1,162.50,6480,5635,160.99,116.85,70.76,404.14,604.79,0.19564,0.9494
pull,20,1,0.05,1,162.50,6482,5637,161.04,102.57,69.98,358.12,517.49,0.03660,0.9746
gossip,20,1,0.05,1,162.50,6481,5635,160.99,116.62,76.04,402.68,674.47,0.17516,0.9680
broker,20,1,0.05,1,162.50,6480,5628,160.80,134.46,90.03,474.15,729.31,0.16107,0.9488
pull,20,1,0.2,1,162.50,6482,5636,161.01,115.12,36.99,424.18,904.24,0.02996,0.9818
gossip,20,1,0.2,1,162.50,6481,5633,160.92,135.69,46.32,466.95,1262.25,0.13256,0.9824
broker,20,1,0.2,1,162.50,6481,5630,160.80,146.66,49.94,546.10,1322.79,0.10571,0.9791
pull,20,0,0,2,162.50,6508,5652,161.47,82.52,81.96,85.61,97.96,0.05335,1.0000
gossip,20,0,0,2,162.50,6507,5652,161.47,88.53,81.93,137.59,161.26,0.15831,0.9664
broker,20,0,0,2,162.50,6507,5655,161.53,91.37,82.27,144.67,165.24,0.18610,0.9281
pull,20,0,0.05,2,162.50,6508,5648,161.36,106.34,85.93,219.81,644.87,0.07689,0.9966
gossip,20,0,0.05,2,162.50,6507,5648,161.36,90.94,86.31,147.03,185.32,0.19524,0.9709
broker,20,0,0.05,2,162.50,6507,5650,161.42,92.78,88.04,150.61,196.70,0.19338,0.9701
pull,20,0,0.2,2,162.50,6508,5647,161.33,103.66,65.95,310.66,583.81,0.02889,0.9821
gossip,20,0,0.2,2,162.50,6507,5641,161.16,124.87,77.96,387.99,788.27,0.13606,0.9749
broker,20,0,0.2,2,162.50,6507,5647,161.32,121.65,73.30,375.59,752.00,0.15373,0.9780
pull,20,0.25,0,2,162.50,6508,5652,161.47,84.48,79.99,133.27,170.62,0.04810,0.9923
gossip,20,0.25,0,2,162.50,6507,5651,161.44,91.78,84.86,168.80,192.24,0.18826,0.9671
broker,20,0.25,0,2,162.50,6507,5648,161.36,92.66,85.37,169.04,200.78,0.21373,0.9676
pull,20,0.25,0.05,2,162.50,6508,5652,161.47,87.55,82.18,169.38,252.45,0.04314,0.9862
gossip,20,0.25,0.05,2,162.50,6507,5654,161.50,92.96,86.77,173.90,260.19,0.19166,0.9720
broker,20,0.25,0.05,2,162.50,6506,5649,161.39,95.97,88.56,184.51,267.76,0.20388,0.9665
pull,20,0.25,0.2,2,162.50,6508,5649,161.37,108.81,65.11,343.31,803.74,0.03371,0.9809
gossip,20,0.25,0.2,2,162.50,6507,5649,161.36,120.60,78.39,371.06,830.74,0.14946,0.9798
broker,20,0.25,0.2,2,162.50,6507,5645,161.24,127.56,81.57,383.95,864.34,0.14378,0.9775
pull,20,0.5,0,2,162.50,6508,5650,161.41,89.34,76.84,154.50,359.74,0.04325,0.9803
gossip,20,0.5,0,2,162.50,6507,5651,161.41,100.66,84.09,225.50,361.10,0.20694,0.9624
broker,20,0.5,0,2,162.50,6507,5648,161.34,99.87,83.23,225.62,361.97,0.20314,0.9686
pull,20,0.5,0.05,2,162.50,6508,5651,161.44,93.98,86.39,205.61,462.79,0.04689,0.9784
gossip,20,0.5,0.05,2,162.50,6507,5648,161.32,101.16,88.10,225.43,460.56,0.19783,0.9629
broker,20,0.5,0.05,2,162.50,6507,5647,161.29,104.29,92.00,226.72,448.67,0.19169,0.9623
pull,20,0.5,0.2,2,162.50,6508,5648,161.35,108.46,69.47,311.46,657.95,0.03300,0.9833
gossip,20,0.5,0.2,2,162.50,6507,5644,161.22,133.21,78.19,393.86,1040.70,0.13501,0.9799
broker,20,0.5,0.2,2,162.50,6507,5642,161.18,132.06,74.52,404.71,926.46,0.15998,0.9778
pull,20,1,0,2,162.50,6508,5649,161.38,98.32,51.04,293.48,583.37,0.03585,0.9688
gossip,20,1,0,2,162.50,6507,5649,161.33,113.85,73.04,295.99,586.66,0.18353,0.9628
broker,20,1,0,2,162.50,6507,5644,161.23,112.63,65.04,295.31,590.24,0.20404,0.9582
pull,20,1,0.05,2,162.50,6508,5646,161.30,101.80,47.31,352.41,485.02,0.03678,0.9714
gossip,20,1,0.05,2,162.50,6507,5648,161.34,112.10,65.48,347.44,632.61,0.18975,0.9715
broker,20,1,0.05,2,162.50,6507,5648,161.32,114.70,63.27,349.75,627.13,0.16838,0.9661
pull,20,1,0.2,2,162.50,6508,5645,161.27,113.73,56.71,370.56,815.97,0.02957,0.9838
gossip,20,1,0.2,2,162.50,6507,5645,161.22,143.27,63.45,489.21,1173.21,0.11924,0.9818
broker,20,1,0.2,2,162.50,6507,5649,161.37,158.94,72.12,550.78,1362.45,0.10723,0.9838
pull,20,0,0,3,162.50,6499,5667,161.90,82.51,81.94,85.61,97.35,0.04953,1.0000
gossip,20,0,0,3,162.50,6497,5665,161.86,88.41,81.85,137.43,160.39,0.17082,0.9653
broker,20,0,0,3,162.50,6498,5668,161.89,89.94,82.15,138.88,161.40,0.15049,0.9653
pull,20,0,0.05,3,162.50,6499,5668,161.94,84.30,79.56,123.22,148.19,0.05114,0.9956
gossip,20,0,0.05,3,162.50,6498,5662,161.77,90.80,84.57,145.82,188.25,0.17200,0.9723
broker,20,0,0.05,3,162.50,6498,5666,161.88,93.03,87.42,148.88,195.75,0.20457,0.9682
pull,20,0,0.2,3,162.50,6499,5658,161.65,95.78,65.33,290.67,489.76,0.03021,0.9828
gossip,20,0,0.2,3,162.50,6497,5660,161.70,107.91,71.51,321.21,602.62,0.18549,0.9755
broker,20,0,0.2,3,162.50,6498,5659,161.68,112.20,73.47,331.53,644.60,0.20513,0.9736
pull,20,0.25,0,3,162.50,6499,5666,161.88,83.48,83.08,112.33,132.40,0.04800,0.9961
gossip,20,0.25,0,3,162.50,6498,5664,161.82,91.08,85.00,145.87,191.49,0.18785,0.9629
broker,20,0.25,0,3,162.50,6498,5665,161.86,92.81,86.69,148.74,190.68,0.21600,0.9673
pull,20,0.25,0.05,3,162.50,6499,5665,161.85,84.46,82.91,120.31,135.16,0.03771,0.9949
gossip,20,0.25,0.05,3,162.50,6498,5662,161.77,92.54,87.54,153.18,203.46,0.19325,0.9684
broker,20,0.25,0.05,3,162.50,6498,5666,161.88,92.74,89.10,148.68,199.57,0.22203,0.9758
pull,20,0.25,0.2,3,162.50,6499,5661,161.74,100.79,58.21,337.26,586.63,0.02828,0.9793
gossip,20,0.25,0.2,3,162.50,6498,5658,161.65,111.53,74.61,327.61,654.17,0.17557,0.9729
broker,20,0.25,0.2,3,162.50,6498,5655,161.57,112.16,74.18,328.85,643.70,0.19121,0.9772
pull,20,0.5,0,3,162.50,6499,5663,161.79,86.30,82.50,153.69,212.27,0.03871,0.9881
gossip,20,0.5,0,3,162.50,6498,5661,161.74,94.44,88.59,170.59,221.74,0.17278,0.9636
broker,20,0.5,0,3,162.50,6498,5664,161.82,91.68,83.29,159.68,224.04,0.19314,0.9774
pull,20,0.5,0.05,3,162.50,6499,5670,161.87,88.44,84.27,167.98,190.55,0.03808,0.9863
gossip,20,0.5,0.05,3,162.50,6498,5665,161.85,90.62,83.70,171.91,221.38,0.16885,0.9813
broker,20,0.5,0.05,3,162.50,6498,5665,161.85,95.98,88.59,182.72,252.34,0.20335,0.9717
pull,20,0.5,0.2,3,162.50,6499,5663,161.78,98.90,64.66,297.14,492.62,0.02982,0.9833
gossip,20,0.5,0.2,3,162.50,6498,5657,161.62,111.08,70.61,342.44,627.21,0.16867,0.9739
broker,20,0.5,0.2,3,162.50,6498,5655,161.56,116.33,75.04,358.58,642.00,0.17142,0.9733
pull,20,1,0,3,162.50,6499,5663,161.79,93.62,87.18,227.22,491.75,0.02907,0.9769
gossip,20,1,0,3,162.50,6498,5664,161.82,98.68,84.93,229.08,492.27,0.18178,0.9729
broker,20,1,0,3,162.50,6498,5660,161.71,110.58,92.19,254.01,492.49,0.19071,0.9624
pull,20,1,0.05,3,162.50,6499,5666,161.88,95.34,84.38,214.61,412.43,0.03650,0.9784
gossip,20,1,0.05,3,162.50,6498,5664,161.79,107.27,91.64,257.31,432.87,0.18146,0.9689
broker,20,1,0.05,3,162.50,6498,5659,161.67,110.18,96.89,257.60,426.35,0.16866,0.9699
pull,20,1,0.2,3,162.50,6499,5657,161.62,106.87,55.76,392.26,636.58,0.02486,0.9800
gossip,20,1,0.2,3,162.50,6498,5655,161.57,118.27,64.53,419.97,779.38,0.16849,0.9755
broker,20,1,0.2,3,162.50,6498,5664,161.76,124.65,71.46,426.49,804.01,0.15090,0.9723
